place_of_residence,place_of_work,N_workers,place_of_residence_chi,place_of_work_chi
Sha Tin,Kowloon City,13097,沙田,九龍城
Sai Kung,Kowloon City,8654,西貢,九龍城
Islands,Kowloon City,1072,離島,九龍城
Central and Western,Wong Tai Sin,575,中西區,黃大仙
Wan Chai,Wong Tai Sin,674,灣仔,黃大仙
Eastern,Wong Tai Sin,2023,東區,黃大仙
Southern,Wong Tai Sin,399,南區,黃大仙
Yau Tsim Mong,Wong Tai Sin,1779,油尖旺,黃大仙
Sham Shui Po,Wong Tai Sin,2988,深水埗,黃大仙
Kowloon City,Wong Tai Sin,4637,九龍城,黃大仙
Wong Tai Sin,Wong Tai Sin,21938,黃大仙,黃大仙
Kwun Tong,Wong Tai Sin,9016,觀塘,黃大仙
Kwai Tsing,Wong Tai Sin,2783,葵青,黃大仙
Tsuen Wan,Wong Tai Sin,1811,荃灣,黃大仙
Tuen Mun,Wong Tai Sin,2087,屯門,黃大仙
Yuen Long,Wong Tai Sin,2205,元朗,黃大仙
North,Wong Tai Sin,1372,北區,黃大仙
Tai Po,Wong Tai Sin,1966,大埔,黃大仙
Sha Tin,Wong Tai Sin,6456,沙田,黃大仙
Sai Kung,Wong Tai Sin,5135,西貢,黃大仙
Islands,Wong Tai Sin,325,離島,黃大仙
Central and Western,Kwun Tong,4319,中西區,觀塘
Wan Chai,Kwun Tong,4717,灣仔,觀塘
Eastern,Kwun Tong,19097,東區,觀塘
Southern,Kwun Tong,5217,南區,觀塘
Yau Tsim Mong,Kwun Tong,9757,油尖旺,觀塘
Sham Shui Po,Kwun Tong,12426,深水埗,觀塘
Kowloon City,Kwun Tong,17240,九龍城,觀塘
Wong Tai Sin,Kwun Tong,24679,黃大仙,觀塘
Kwun Tong,Kwun Tong,69591,觀塘,觀塘
Kwai Tsing,Kwun Tong,12956,葵青,觀塘
Tsuen Wan,Kwun Tong,8410,荃灣,觀塘
Tuen Mun,Kwun Tong,10624,屯門,觀塘
Yuen Long,Kwun Tong,11786,元朗,觀塘
North,Kwun Tong,7906,北區,觀塘
Tai Po,Kwun Tong,10379,大埔,觀塘
Sha Tin,Kwun Tong,25668,沙田,觀塘
Sai Kung,Kwun Tong,33847,西貢,觀塘
Islands,Kwun Tong,2364,離島,觀塘
Central and Western,Tseung Kwan O New Town,469,中西區,將軍澳新市鎮
Wan Chai,Tseung Kwan O New Town,425,灣仔,將軍澳新市鎮
Eastern,Tseung Kwan O New Town,2578,東區,將軍澳新市鎮
Southern,Tseung Kwan O New Town,534,南區,將軍澳新市鎮
Yau Tsim Mong,Tseung Kwan O New Town,898,油尖旺,將軍澳新市鎮
Sham Shui Po,Tseung Kwan O New Town,1632,深水埗,將軍澳新市鎮
Kowloon City,Tseung Kwan O New Town,1924,九龍城,將軍澳新市鎮
Wong Tai Sin,Tseung Kwan O New Town,3244,黃大仙,將軍澳新市鎮
Kwun Tong,Tseung Kwan O New Town,7721,觀塘,將軍澳新市鎮
Kwai Tsing,Tseung Kwan O New Town,1635,葵青,將軍澳新市鎮
Tsuen Wan,Tseung Kwan O New Town,915,荃灣,將軍澳新市鎮
Tuen Mun,Tseung Kwan O New Town,668,屯門,將軍澳新市鎮
Yuen Long,Tseung Kwan O New Town,930,元朗,將軍澳新市鎮
North,Tseung Kwan O New Town,509,北區,將軍澳新市鎮
Tai Po,Tseung Kwan O New Town,1085,大埔,將軍澳新市鎮
Sha Tin,Tseung Kwan O New Town,2674,沙田,將軍澳新市鎮
Sai Kung,Tseung Kwan O New Town,20939,西貢,將軍澳新市鎮
Islands,Tseung Kwan O New Town,131,離島,將軍澳新市鎮
Central and Western,Tsuen Wan New Town,1278,中西區,荃灣新市鎮
Wan Chai,Tsuen Wan New Town,858,灣仔,荃灣新市鎮
Eastern,Tsuen Wan New Town,2423,東區,荃灣新市鎮
Southern,Tsuen Wan New Town,1038,南區,荃灣新市鎮
Yau Tsim Mong,Tsuen Wan New Town,3106,油尖旺,荃灣新市鎮
